Codice;Gender;Age;Titolodistudio;Statocivile;StatusOccupazionale;Annidiscolarizzazione;CERQ_SelfBlame;CERQ_Acceptance;CERQ_Rumination;CERQ_PositiveRefocusing;CERQ_RefocusOnPlanning;CERQ_PositiveReappraisal;CERQ_PuttingIntoPerspective;CERQ_Catastrophizing;CERQ_OtherBlame;CISS_SF_TaskOriented;CISS_SF_EmotionOriented;CISS_SF_TreatOneselfOriented;CISS_SF_ContactFriendOriented;DD_Machiavellianism;DD_Psychopathy;DD_Narcissism;RSA_PerceptionOfSelf;RSA_PerceptionOfFuture;RSA_SructuredStyle;RSA_SocialCompetence;RSA_FamilyCohesion;RSA_SocialResources;SREIS_PerceivingEmotion;SREIS_UseOfEmotion;SREIS_UnderstandingEmotion;SREIS_ManagingEmotion;SREIS_SocialManagement;NVQ;SIMP_Extraversion;SIMP_Agreeableness;SIMP_Conscientiousness;SIMP_EmotionalStability;SIMP_Openess;RAS;SOCS_Cognitive;SOCS_Motivational
TT004;1;58;2;2;6;8;2,25;4;2,5;1,75;3,25;1,75;2,5;2,5;1;3,14;3,14;2;3,333333;3;1,5;2;2,83;3,25;1,67;3,6;4,4;4;3;4;2,75;2,75;3;3,27;3;8;3;7;7;2,47;2,71;4,5
SS003;0;56;2;2;7;8;1,5;2,5;3;2,5;4;3,5;3,5;1,5;1,5;4;3;1,666667;2,666667;1;1;1,5;3,67;3,25;4,33;3,8;4,8;4,33;2,75;4;2,25;2,75;3,5;1,33;4;6;6;5;8;1,3;4,71;5,75
OO008;0;22;3;1;8;13;2,5;2,5;3,5;2,75;3,75;3,5;4;2;1,75;3,57;2,57;2;2;2,25;1;1,75;3,17;2,75;3,33;4;3,4;3,83;4,5;4;2,75;3,75;4,75;3,07;4;6;5;5;5;2,03;4,43;5,5
RR004;0;34;3;2;4;13;1,5;3;3,25;2;3,25;2,25;2,5;1,75;1,75;3,29;3,86;2;2,333333;1;1;3;2,33;1,75;4;3,8;3,8;4,5;2,75;3,33;2,75;2,75;3,5;3,8;5;5;2;2;4;2,37;4;4,25
TT005;0;58;3;2;7;13;2,25;3,75;2,75;2,5;3;2,25;3,75;2;1,25;3,29;3,71;2,333333;2,333333;1;1;1,5;2;2;4;3;3,4;3,17;4;4,67;2,25;1,75;2,25;4,13;3;6;5;2;7;2,77;3,29;3,25
DD005;0;43;5;1;4;18;2,5;3,75;2,25;2,5;3,75;4;4;1,5;2;4,57;2,29;3,333333;3;1;1;2;4,33;4;4,33;4;4,6;4,67;3,75;2,67;3,75;3,75;3;2,93;6;6;6;6;7;1,23;5;6
CC006;1;49;3;2;4;13;2;2;2,25;2,5;3;3;4,25;2;2;4;2,14;1,333333;2,666667;2,25;2,25;1,5;4,67;5;4,33;3,4;4,4;5;3,75;3,33;3,5;3,75;2,75;2,67;4;5;5;6;5;1,73;3,86;5,25
AA005;1;41;3;2;4;13;3;3,5;3,25;2;3,25;4,25;4;1,75;1,25;4;4,29;3;4;4;1,25;1,75;1,5;3;3,33;4;3,2;3,33;4,5;3,67;3,5;1,5;5;4,4;5;7;2;5;6;2,43;3;6
AA006;0;33;3;2;4;13;1;3;2,75;3;3,5;2,25;3;3;1,25;3,43;3;3;3;2;2;4,5;4,5;4,25;4;3,8;4,6;4,83;3,75;4;3;2,75;3,5;3,33;4;5;5;4;3;1,9;4,43;5,75
GG007;0;38;3;2;4;13;1,75;3,25;1,75;1,5;3;3;3,5;1;1;3,86;2,71;1,333333;2,666667;2;1,25;1,75;3;2,5;3,33;3,4;3,6;3,83;3;4,33;2,5;3,25;3,25;3,07;5;4;4;5;5;1,87;5,29;6
HH006;0;43;3;2;4;13;2;2,75;3,5;1,25;3,25;3;3,5;2;1,5;4,14;3,71;2;2,666667;1;1;2;3,33;3,75;5;2,6;3,2;4,67;4;2,67;2,75;3,25;2,5;4,27;3;7;8;3;6;2,6;4,14;4
FF007;0;34;3;2;4;13;1;3,5;2,25;3;2,75;2;2;3,25;1,5;4,14;2,71;3;2;2;1,75;4,5;3;3;2,33;3;3,4;3,67;2,75;3,67;2,25;2,5;3,75;3,67;3;8;3;2;3;2,23;4,71;5
II007;0;38;5;4;4;18;2,25;2,5;3,25;4;3,5;4,25;3,75;2,25;2;3,14;3,43;2,666667;4;1;1;1;3,33;3;3;3,8;4,6;4,83;2,75;4;2,75;3,5;3,75;3,07;3;5;6;7;5;2,17;4,57;6,5
AA007;0;28;3;1;4;13;2;3;3,25;2;3,75;3;2,5;2;1,5;3,71;3,29;2;2,666667;1,5;1;4,5;3;3,75;3,67;2,8;3;3,5;3,25;3;3,5;3,25;3;3,13;6;5;4;4;6;1,63;3,43;7
BB006;0;21;3;1;3;13;2,25;2,5;2,75;3;3,5;2,75;2,5;1,25;1,25;4,29;2,29;1,333333;3,666667;1;1;1,25;4,33;5;4,33;3,8;4,4;4,67;4,25;4,67;4;3;2,75;2,73;2;4;8;3;9;1,8;5,43;6,5
CC007;0;49;3;2;4;13;2;3,5;2,5;1,75;3,5;3,75;1,5;1,25;2;3,86;1,86;1,666667;1,666667;1;8;4,5;4,33;4;4,67;2,4;2,8;3,17;3,5;1,33;2,75;3,75;3,5;2,8;2;8;5;6;5;1,63;5,14;6,75
DD006;0;27;3;2;4;13;2;4,25;3,5;3,5;4,25;2,25;2,25;2,5;2,5;3,57;4;3;4;1,25;2;3,5;1,5;3;4;3,6;4;4,5;2;3,33;2,75;1,5;3,25;4,53;3;6;6;4;4;3,1;2,29;5,75
BB007;0;29;4;2;4;16;2,75;3,25;3,75;2,5;4;2,25;4;3;2,75;3,57;3,71;3;5;1,25;2;5;2,83;4;4,33;4,8;3,6;4,5;3,75;4;2,5;1,75;4,75;3,6;8;5;2;4;6;2,17;1,71;6,25
OO009;1;38;5;2;4;18;1,75;3,75;1,75;2;3,5;3,75;4;1;1,75;4;2;1,333333;2,666667;4,25;5,25;2,75;4;4,5;3,67;2,8;4,6;4,33;3;2,67;2,75;4,25;3,25;2,93;2;7;8;9;3;2,17;5,71;5,75
QQ005;0;37;5;2;2;18;1,75;3,75;3,75;4,75;4,5;5;3,5;2,25;1;4,57;2,86;2,333333;2,666667;1;3,5;5;3,83;5;3,67;3,8;4,8;4,33;4,75;2,67;4,75;4;4,25;2,6;5;4;5;4;3;1,27;4,43;6,75
FF008;0;52;2;2;4;8;2,5;3;3,5;2;3,5;3,5;3,25;1,75;2;3,71;3,43;1;4,333333;1;1;3;3,17;3;3,67;4;4;4,33;3,75;4;2,5;3,25;3,75;2,47;7;5;4;5;5;2,07;3,86;5,25
GG008;1;25;3;1;8;13;3,75;4,5;4,25;4,25;5;5;5;3,25;4;3,29;4;3,666667;3,333333;3;1,5;5;2,67;3,25;4;2,8;4;4;2,75;4;3,5;2,25;3,25;4,13;5;7;3;3;5;2;4;4,25
MM006;0;60;2;2;6;8;2;3,75;2,75;2,5;2,5;3,75;4,25;1,5;2;4,71;3;2,333333;2;1,5;1;2;4,5;4,25;3,67;3,4;4,6;4,33;3,25;3,33;3;4,25;3,5;2,8;4;7;6;7;5;1,83;5,14;5,25
HH007;1;65;3;2;6;13;1,75;3;2,25;3;3;3;3,5;1,75;1,75;4;2,57;1,666667;1;1;2,75;2,25;4,17;3,5;3,33;3;4,4;3,5;3,75;2,67;2,25;3,5;3;2,67;5;5;7;7;6;1,87;5,14;5,25
SS004;1;33;3;1;4;13;1,5;4,25;2;4;3;3,75;4,75;1,25;1;3,57;2,14;1,666667;2;1;1;1;4;3;4,33;2,4;4,4;4,33;2;2,33;1,75;4,5;3,5;3,27;1;7;6;7;4;2,83;4,57;5,25
RR005;1;39;3;2;4;13;2,25;2,25;3,25;3,25;3,75;4;3,5;2;1,75;3,29;2,57;3,666667;4;5,25;5,25;6,5;4;4;4,67;4,8;4,4;4,5;3,75;3,33;3,25;3;2,75;3,33;7;6;6;5;7;0,97;4,86;5,5
TT006;1;32;3;2;4;13;2;3,5;3,5;3,5;2,5;3,5;3,25;1,25;1,75;3,29;3;1;3,333333;1;3;1,5;3,5;3,75;3,67;4,2;4,4;4,5;4;4,33;1,5;3;4,25;3,13;7;5;6;4;7;1,77;4,57;5
BB008;1;51;3;3;4;13;2,75;2,25;2;1;4,5;3,5;1,75;1,75;2;4,57;2,57;1,333333;1;2,5;4,25;2;4;3,75;4,33;5;3;4,17;3,25;1,33;2,75;4,25;3,5;2,53;8;2;5;5;5;0,63;4,57;5,75
PP006;1;36;5;2;4;18;1,75;2,25;3,25;2,25;2,75;2,75;3,25;3;2,5;3,29;3,14;2,333333;1;1;2,25;5,25;3,17;3,75;2,33;3,2;4,6;3,67;4;4;4,75;2;3;2,2;5;2;2;2;8;1,67;4,14;5,25
SS005;0;25;5;1;2;18;3;2,5;4;1,25;2,25;2;2,5;3,25;3,5;2,86;3,71;4;3,666667;4,75;1;7;2,17;3;3;4,6;3,4;5;3,25;4,67;2,25;2;3;3,87;4;5;2;4;7;2,47;1,71;3,5
SS006;0;62;5;2;6;18;2,5;2,5;3,25;2,5;4;2,75;2,75;4;3,25;2,57;3;2,333333;2;1;2;2,75;3,33;3,75;3,33;2,6;4;3,5;3,75;4;2,75;3,5;3,25;3,6;2;8;8;3;5;2,47;4;4,5
TT007;1;65;3;2;6;13;2,5;2,5;2,25;2,25;3,5;2,5;2,5;1,75;2,75;4,29;2,86;1;1,333333;2;1;1,5;3,5;3,75;4,33;4,8;4,6;4,33;4;3,33;2,75;3;3,25;2;8;4;4;3;7;1,33;5,71;6,25
NN008;1;18;2;2;4;8;2,5;3,5;2,25;2,75;3;4,25;4,75;2;2;3,43;2,14;2,333333;2,333333;1,25;4,5;1,5;3,83;4,75;3;3,8;4,4;3,67;2,75;4;2,5;3,25;4;2,87;4;6;5;8;5;2,3;5;5,25
QQ006;0;44;3;2;4;13;1,25;1,5;1,75;2;3;3,5;3,75;1,25;1,75;3,57;1,86;2;2,666667;5,25;2,5;7;4,33;4,25;3;4,6;4,6;4,5;4,5;3,67;4;3,5;4,5;2,2;7;4;3;7;7;1,2;5,14;6,5
II008;0;36;3;2;4;13;3,5;2,75;3,75;1,75;4,75;3,75;3;1,5;1,25;4,29;2,14;1,333333;3;5,5;1,5;3;4,67;3,75;4,33;3,6;4,2;4,5;3,25;3,67;3;3,75;4,25;2,13;5;3;8;7;7;1,77;4,57;5,75
QQ007;1;28;3;1;3;13;2,25;2,5;2,5;2,75;3,5;2,75;3,25;2,5;2,25;3,43;3,14;4,333333;4,333333;3,25;4;5;3;3;3,67;3,4;3;3,83;3;3,33;2,5;2,75;3,75;3,6;7;4;5;5;5;2,13;4,14;5
AA008;0;26;5;1;2;18;2,25;2,25;2,75;2;2,5;2,75;1,75;1,5;1,75;3,14;3,43;4;3,333333;4;5,75;6,25;2,5;4,5;4,33;4;4,8;5;3,25;3;3;2,75;3,75;3,33;7;8;2;4;6;1,93;3,57;6,25
OO010;0;29;5;1;3;18;2,5;3,25;2,75;2,5;3,5;4,5;3,75;1,5;2;4,57;4;3,666667;3,666667;2,25;1,5;7,25;3,67;4;3,67;3,8;3;4,83;3,25;3,67;5;4;4,25;2,93;3;5;5;3;8;1,9;4;5
II009;0;19;3;1;8;13;1,75;2,25;2,5;2,5;2,75;2,75;2,5;1,5;2;2;2,43;1;3,333333;1,25;2,75;3,75;3,67;4,75;2;4,2;4,2;4,33;3,75;3,33;3,25;3;4;2,93;8;5;4;3;9;1,43;4,29;6,25
RR006;1;30;3;1;1;13;1,75;3;2,25;3,5;2,75;2,25;3,25;2;1,75;4,14;3;2,666667;4;3,5;2,75;3,75;3;2,25;3,33;3,2;3,4;4,33;3,75;2,67;3,5;2,75;3,5;2,8;4;5;4;3;5;2;3,57;4,5
DD007;0;37;3;1;4;13;2;3,5;3;2,25;3,5;4;3,25;1,5;1,5;4;2,71;3;2;1,5;3,75;4;4;2;5;4;3,2;3,5;3;3,67;3,75;3;3,5;3;7;6;6;6;5;2,1;4,43;4,5
QQ008;1;32;3;1;4;13;2,5;2,25;2;3,25;3;3;3,25;1,75;2;3,71;2,86;2,333333;3;1,25;3,5;2,75;3,17;2,25;3;3,6;3,6;3,5;4;3;3,75;2,75;4,5;3,4;7;5;5;6;8;2,07;4,14;4,75
LL007;0;33;5;2;4;18;1,5;3,75;2;2,5;3,25;4,5;4;1;1,25;4,29;2;2;3;1;1;3;4,33;5;4,33;4,4;4,6;4,17;4,5;5;4,75;4,25;4,25;2,2;4;7;8;5;7;1,9;6,43;7
II010;1;32;3;2;4;13;2,25;4;1,75;2;2,5;3;3,5;1,75;2;3,86;2,57;2,333333;2,333333;1,5;2,75;4;3,83;3,25;3,33;3,4;4;3,83;3,5;3;2,25;3,25;3,25;3,13;4;4;5;6;5;1,93;5,29;5,5
GG009;1;68;2;2;6;8;3;3,25;3,25;2,75;3,25;3,25;3,5;2,75;2;3,86;3,29;2;2,333333;2,25;3,25;3,5;2,83;3;4,33;2,8;4,4;4,33;3,5;3;2,25;3,25;2,75;3,4;2;3;7;2;3;2,07;4;6
FF009;0;57;2;2;7;8;2;3;2,5;2;2,75;3,25;3,75;3,5;2;3,71;3,43;1,333333;2,333333;1,5;2,5;2;2,83;3,25;4;2,8;4,4;4;4;4;3;2,5;3,25;3,73;3;8;8;4;3;2,4;4,14;5,75
AA009;1;70;3;2;6;13;1,75;2,5;3,75;2,5;3;3,25;4;1;1;4,43;3,43;1,333333;1,666667;1;2,75;2,5;3,33;3;3,67;3,8;4,2;3,83;3,75;4,33;4;3,25;2,5;2,87;4;4;6;6;6;1,63;4,57;3
NN009;0;47;3;3;4;13;2;2,5;2,5;4,75;4,5;4,25;4,75;1,25;1,5;5;2,29;2;3,333333;5,25;5;2,5;4,5;4;3;4,8;3;4,33;2,75;4,67;3,5;4,25;4;2,33;8;1;5;4;8;0,63;5,57;4,5
LL008;1;38;5;2;4;18;2;2,75;3;1,5;4;3,75;2,75;1,25;2;4,43;2;3,333333;3,666667;1,5;3;4,5;4,17;4,75;5;4,4;4,4;4,83;4;3;2,75;4;3,25;2,07;6;8;8;5;3;1,5;6,29;6,75
MM007;0;31;4;2;4;16;1,75;3,25;4;2,5;3,75;3,25;3,25;2,5;1,75;4,71;1,86;1;2;1;1,25;2,25;3,83;5;4,33;4;4,8;5;4,75;3,33;5;4,75;4,5;2,27;3;7;7;3;8;2,13;6,57;6,25
PP007;1;27;5;2;4;18;1,25;3,25;1,25;1;4;3,25;3;1;1,25;4,14;1,43;1,666667;4;1;5,25;1;4,33;4,75;3,33;3,6;5;5;4;1;3,25;4,5;3;1,67;3;4;9;4;6;1,17;5,86;6,75
OO011;0;27;6;2;3;21;4;2;4,25;1,75;3,5;2,75;2;2,75;2,75;3,14;4,43;4;4;1,25;1,25;2,5;2,5;2,75;3,33;3,4;4;5;3,75;4;3,5;1,75;3,75;3,93;3;8;3;4;6;2,57;2,71;4,25
GG010;1;46;3;2;4;13;1,75;4,25;3,5;2;3,5;4,25;4;2;1,75;4,29;2,43;3,666667;3;3;3,75;4,5;4,33;4,25;3,33;4;4,2;4,33;4;2,67;3,5;3,75;3,75;2,47;7;4;6;6;7;1,57;5,43;6
FF010;0;32;2;2;4;8;2,25;3,75;4,25;2,5;3,25;2,75;4;3,75;4;3,43;3,71;1,666667;5;1,5;1;1;3,33;2,5;5;4,4;4;5;4,75;3,67;3,75;3,25;4;3,27;7;5;4;4;7;2,17;2,14;4,5
AA010;0;51;3;2;4;13;2;2,25;2,5;2,75;2,25;2,25;3,25;2;2;3,86;3,86;2,666667;2,666667;2,25;1,25;2,25;3,17;4,25;3,33;2,6;4,2;4;4,25;2,33;2,75;2,75;3;3,47;3;4;3;5;3;2,4;3,29;3
BB009;0;43;3;2;4;13;2,25;2;2,25;2,75;2,75;3,25;2,75;2,5;2,25;3,86;3,57;2,333333;2,333333;1;1;1;3,5;3;3;3,4;3;4;4,75;2,67;2,75;3,25;2,75;1,4;2;6;2;6;9;2,2;3,43;4
CC008;0;57;3;2;4;13;2,25;1,75;2,5;2,75;3,5;4,25;3,75;3;2;3,71;3;3,333333;3,666667;1;1;1;3,67;4;4,33;4,4;4,6;4,83;3;2,67;3,25;3,75;3,5;1,4;1;7;2;9;9;2,13;4,71;6
CC009;0;51;2;2;4;8;2,5;3,25;3,5;2,25;2,25;2,5;3,5;2;2;3,71;4;3,333333;2,666667;1,5;5,25;4,75;3,33;3,25;3,33;3,2;3,8;3,67;4,25;3,33;3,25;3,75;3,25;3,53;5;5;7;4;5;2,13;4,29;4,5
DD008;1;24;2;1;3;8;2,75;2,75;3,5;1,75;3,25;3;3;2,75;2,5;3,57;3,29;2;2;1,5;1,75;3,75;3,33;3,25;4;3,4;4,2;3,83;3,5;4;2;3;3,5;2,53;5;4;5;7;2;1,8;4,29;4,5
TT008;1;58;2;2;5;8;3;3,75;3;2;4;4;4;2;1,25;4,57;4;2;2,333333;3;1,25;4;2,83;2,75;4,67;4,2;4,2;4;1,75;2,67;2,75;3,5;2,25;3,13;9;5;7;2;1;1,77;4,14;6,25
DD009;0;43;3;1;4;13;2,5;2,5;3,25;2,5;2,75;2;4;2,5;2;3,57;3,86;4;3,666667;1,25;3,25;2,5;2,83;1,75;3,33;3;3,4;4,33;2,25;3,33;3;3,5;2,75;3,67;1;2;9;8;3;2,47;3,43;3,5
NN010;1;43;3;1;3;13;2,25;2;3,25;3;3,25;2,75;2,5;2,75;2;3,86;3,29;2;2,333333;2,25;3,5;4,5;2,83;1;3,33;2,6;3;2,67;3;4,33;4;3;3;3,53;4;5;4;5;7;2,2;4;3,75
MM008;1;24;4;1;8;16;2;2,5;3,25;2,5;4;4;4;3;2,25;4;3;2;3;3;2,5;4,25;3;2,75;4;3,8;3,8;4;3,5;3,33;3,75;3;3,75;3;2;5;7;4;6;1,97;4,57;3,75
PP008;1;26;4;1;8;16;3,25;4,75;3,75;3,25;4;4,25;4,25;2;2;3,43;2,86;1;5;1,25;3,25;4,75;3;2,25;3,67;2,6;4;4,5;3,25;4,33;3,25;3,25;2,75;4;2;7;4;5;8;2,8;4,57;5
QQ009;0;27;3;1;4;13;2;3,75;3;2;3,5;4;4,25;1,25;2;3,71;3,86;1,333333;2,333333;2,5;3,75;6,75;2,83;4,75;3,67;3,8;3,6;4,5;3,25;4;3,25;2,5;2,75;4,2;6;7;6;4;7;2,17;3,71;5
RR007;1;26;3;1;5;13;2,25;3,75;2,5;2,5;3,5;3,75;3,25;1,5;2,5;3,71;2,43;4;4,333333;3;5,5;4;3,83;3,75;2,33;2,2;4;4,67;3,25;3,33;2,25;3;3,25;3,2;3;4;3;7;3;2,27;5,71;4,75
TT009;0;27;6;2;5;21;2,5;2,5;4,25;2,5;4;4,25;4;1,75;2;3,71;2,57;2,333333;4;2,75;1;2;3,5;4,25;4,33;4,2;4,2;5;4;3,67;3,75;3,75;3,5;2,53;5;7;7;5;6;1,8;5,57;6
DD010;0;31;5;1;8;18;2,25;2,25;2,5;2,5;4,75;2,75;2,5;2;1,75;4,29;2;3,333333;4;1,5;1,75;6;3,83;3,5;4,33;3;3,8;4;4,25;4,67;3,5;3,75;4,25;2,73;3;8;2;6;8;1,73;6,43;6,25
CC010;0;28;6;2;2;21;1,75;2,5;3;2,25;4;3,75;2,5;1,25;1,25;3,86;2,71;3,333333;4;1;1,25;6;3,5;2,75;3,67;4,4;4,8;4,67;4;4;4,5;3,5;3,75;2,07;7;7;5;6;8;1,63;5,29;6
FF011;0;25;5;1;8;18;2;3,5;4;3;3,5;3,5;3,25;1;1,75;4,14;1,71;2;4;1,5;1;3;3,83;4,5;4,33;4,2;4,2;4,33;4;3,67;4,25;4;3,5;1,53;6;6;5;7;5;1,53;5,71;6,5
GG011;1;29;5;1;1;18;4;1,75;3,75;2;1,75;1,5;2;2,75;1,25;3;3,57;1,666667;1;1;1;6,25;2,17;3;3;3,6;3;2,33;3,25;4,33;3,5;1,5;3;3,6;4;6;4;7;8;2,1;3,29;5,25
SS007;0;37;5;2;4;18;2,25;3,25;4,75;3,5;5;5;4,25;2;1,5;4,43;2,57;2,666667;3,333333;3,5;2,5;7;4,17;4;3,67;3,6;3;3,83;4,5;3,67;4,25;4;4,25;2,73;5;7;6;5;5;1,7;5,43;6,5
AA011;0;23;4;1;8;16;3,5;4,75;4,5;2;3,75;3;2,75;1,25;1;3;2,57;2;2;2;1;1,25;3,5;3,25;2,67;4,6;4,4;5;3,75;3,33;4;3,25;4;1,87;3;6;2;4;7;1,97;6,14;6,5
DD011;1;31;4;1;2;16;4,75;3,75;1,75;2;3,25;1,5;2,25;2,25;1,5;3,14;3,43;2;2,666667;5,5;2,5;6,5;2,83;1,25;3,33;3,6;3;4,5;3,75;2,67;3,75;3;3,25;2,93;4;4;8;7;5;2,07;3,29;5
RR008;0;30;3;1;2;13;2;2,75;2,25;4,25;3,5;5;5;2,25;1,25;4,43;2,29;2,333333;2;1;5;1;4,83;5;5;5;5;4,33;4,5;4;4;2,25;5;2,27;9;1;3;5;7;1,47;5,71;6
GG012;0;23;4;1;1;16;2,25;2,5;3;2,25;2,5;3,5;3,5;1,75;2;3,86;2,57;2,666667;3,333333;1;1;1,75;4,5;4,25;4,33;3,6;4;4,17;4,25;4;4;3,5;4,5;2,73;4;7;7;5;7;1,73;5,43;6,5
FF012;0;25;4;1;8;16;3;2,75;2;2;2,5;3,5;3,25;1,75;1,75;3,71;2,71;2;3;1;4;1;3;2,25;3,67;2,8;3,2;3,67;2,5;3;2;3,25;2,75;3,73;1;9;9;4;5;2,43;3,57;4,5
HH008;0;31;4;2;8;16;3,25;4;4;2,25;3,75;3,5;3,25;3;2,75;3,86;3,14;2,333333;3;2;2,5;4,5;3;4,5;4,67;2,4;2,6;4,5;4;3;3,25;3,25;2,5;3,73;1;2;8;5;4;2,2;4;5,25
CC011;0;27;3;1;3;13;1,75;3,75;4,25;2,5;3;2,5;2,25;3,75;1,25;3,57;3,14;4;4;2,5;1,5;7;2,67;4,25;4,67;4;4;4,67;4,25;3;3;3,5;3,75;3,8;4;5;8;5;6;2,3;3,86;6
EE006;1;25;3;1;4;13;2,25;1,75;2;4;3,75;2,5;3,25;1,75;1,5;3,71;1,86;3;2,333333;5,75;3,25;4,5;4;4,75;3;4;4;4,5;3,25;3;3,5;3,5;4;2,13;6;5;2;5;5;1,53;4,14;5,75
RR009;1;36;5;2;5;18;1,5;1,75;1,75;4;4;4,25;4,5;1,5;3,25;3,86;2,57;2,666667;3,333333;5,75;4,5;6,75;4,33;5;4;4;3,8;4,33;3;2,67;2,25;4;4;2,87;8;8;2;8;3;1,67;5,57;5,75
SS008;0;34;5;2;3;18;2,75;2,25;3,25;1;2,25;1,5;1,5;3,25;2,75;3;3,71;1;3,666667;1,5;1,5;2,5;2,17;4,25;4,67;3,8;3,6;3,83;3;4;3,75;2,5;3,75;3,47;5;4;4;3;6;1,63;3,71;6
BB010;0;32;6;2;5;21;2,25;4;4,25;2;4,75;4;2,25;3,25;3;4,57;4,43;4,333333;5;6,75;3,5;5,75;2,5;3,5;3,33;3,4;4,4;4;2,25;3;3,5;2,75;3;4,33;5;4;4;5;6;2,37;2,71;3,75
AA012;1;27;4;1;2;16;2,75;3,25;3;1,75;2,25;3,25;3,75;1,75;1,75;4,14;2,71;1;1,666667;6;5,5;4,25;3,83;3,75;3,67;2,4;3,6;4;3,25;3;2,75;3,25;2,5;3,2;7;2;5;5;1;2;2,43;5
CC012;0;34;3;3;3;13;2,5;2,75;2,5;2,75;3,75;3;2;2,5;2,25;3,57;3,57;5;5;5,5;4;4,75;3;4;3;4;3,8;4,17;3;3,67;3,75;2,5;3,25;3,47;7;4;5;5;5;2,13;3,43;4
MM009;0;40;5;2;5;18;2,5;2,5;2,75;2,75;3;2;2,5;2;1,5;1,43;3,29;1,333333;3;3,25;1,5;3,75;3,83;5;3,67;4;4,4;5;2;4,67;4;2,75;4,25;2,93;7;5;5;7;7;1,73;3,14;4,5
PP009;0;31;5;1;5;18;1,75;2;2,5;2,5;4;3;3;1;1;4,71;1,71;4;4,333333;1;5;2;4,33;5;4,33;3,6;4,6;4,67;3;2;2,75;3,75;2,75;1,73;1;1;9;5;1;1,37;6,14;6,75
NN011;1;42;6;2;5;21;2,5;2,75;2;1;3;2;2;1;1;3;2;1,666667;2,666667;1;1,75;1,25;4,17;4,75;2,33;2,4;3,8;4,5;1,75;2;1,5;3,75;3,25;3,07;7;4;6;5;2;1,83;4,57;6,25
FF013;0;30;3;1;2;13;2;3,75;3,25;1,25;2,75;1,75;2;2;1,75;3,71;3;2;3;1;1,75;3,25;3;3,25;3;3,4;3,2;4,33;3,25;2;3,5;2,75;3;3,4;5;6;6;6;6;1,9;4,29;5,25
GG013;0;26;6;1;5;21;3;2,5;3,75;2,5;3;3,25;3;2;2,75;2,71;2,86;3,666667;2;4,25;5;5,75;3,17;2,5;3,67;4;3,2;3,67;4,5;3,33;3,5;4,75;4,25;3,53;2;2;8;7;5;1,63;5,14;4
AA013;1;52;4;2;5;16;2,5;2;3,5;3;4;3,25;3,25;2,25;1,75;4,29;2;1;1;1;1,75;5,5;3,67;3,25;4;4;3,4;3,67;2,25;2,33;3,25;3,75;3,75;2,6;6;7;5;5;8;1,8;5,57;5,5
BB011;1;27;5;1;1;18;3;2,5;3,5;2,5;3;3,25;3;2,25;2,75;2,71;3,14;3,333333;2;5;6;6;3,17;2,5;3,67;4;3;3,33;3,75;3,33;3,75;3,75;4,75;3,53;2;2;8;7;6;1,8;3,86;3,25
TT010;0;54;3;2;1;13;2,5;2,75;2,25;2;3;2;3;2;1,5;3,86;3,43;1,666667;1,333333;1;2;4,75;2,83;3;3,67;3;4,4;3,67;3,75;3;3,5;2,75;3,25;4;4;5;5;5;5;2,3;3,86;4,75
QQ010;0;26;5;1;2;18;2,25;2,75;2,25;2,5;2,75;2,5;2,25;2,5;2,5;3,43;3,14;3;3,333333;1,75;2,25;3,75;2,67;3;3;3,6;2,6;3,33;3,5;2,33;3,75;4;3,5;3,87;4;6;6;6;7;1,93;3,86;4,75
HH009;0;62;3;2;4;13;2,25;4,25;3,5;3,5;4;3,75;4,75;1,5;1,5;3,71;2,86;3,333333;3;2;2;2,75;3,5;3,75;4,67;3,6;3,6;4;3,25;3;3,5;3,5;2,75;3,27;4;4;6;6;4;1,9;4,14;6
GG014;1;64;3;2;5;13;2,5;3;3,25;4,5;4;4;4,25;4,25;3,75;3,43;2,86;2;3;7,5;7,5;5,5;4,5;4;3,67;4,2;3,8;4,67;4,25;3;3,5;4,25;4;2,33;4;6;4;5;5;1,4;4,29;4,5
RR010;0;26;5;2;1;18;2,5;3,25;3,75;2,75;5;4,5;4;2,5;2,5;4,43;3;2,666667;4;1,75;1;3;4;4;4,67;4,2;5;5;4,5;4,33;4,25;3,5;4,25;2,73;5;6;7;4;7;1,63;4,57;6,25
LL009;1;62;5;2;4;18;2,5;2,25;3;2,5;3,75;2,75;2,5;2;1,5;4;2,29;3;2,333333;3,75;3;4;3,83;4;4;3,2;3,8;3,33;4,5;3,33;3,25;4,25;3,5;2,93;2;4;7;7;7;1,8;4,86;4,75
EE007;0;59;6;2;4;21;4,5;4,5;2,75;1,5;2,75;2;2,75;3;1,75;3,14;4,14;3,666667;3;1;1,25;1,5;3,17;4,5;3,67;3,8;4;4,67;5;4,33;4,25;2,75;4,25;4,07;2;9;3;4;8;2,93;4,43;5,5
II011;0;63;5;2;6;18;2;4,5;3,5;3,25;4;4;4;3,25;3,5;3,86;3,14;2;3,666667;4,5;4;5;3;2,75;3,67;4;3,4;3,67;4;4,33;3,75;3;3,75;3,53;3;5;6;4;5;1,7;4,57;5,25
II012;0;60;3;2;4;13;2,75;2,5;4;2,25;4;4;3,25;1;1,75;4,14;2,29;1;2,333333;1;1;2,25;3,83;4;4,33;3,8;4,4;4;4,5;5;3,75;4;3,5;2,07;6;5;4;8;8;1,1;5,71;6,75
