Codice;Gender;Age;Titolodistudio;Statocivile;StatusOccupazionale;Annidiscolarizzazione;CERQ_SelfBlame;CERQ_Acceptance;CERQ_Rumination;CERQ_PositiveRefocusing;CERQ_RefocusOnPlanning;CERQ_PositiveReappraisal;CERQ_PuttingIntoPerspective;CERQ_Catastrophizing;CERQ_OtherBlame;CISS_SF_TaskOriented;CISS_SF_EmotionOriented;CISS_SF_TreatOneselfOriented;CISS_SF_ContactFriendOriented;DD_Machiavellianism;DD_Psychopathy;DD_Narcissism;RSA_PerceptionOfSelf;RSA_PerceptionOfFuture;RSA_SructuredStyle;RSA_SocialCompetence;RSA_FamilyCohesion;RSA_SocialResources;SREIS_PerceivingEmotion;SREIS_UseOfEmotion;SREIS_UnderstandingEmotion;SREIS_ManagingEmotion;SREIS_SocialManagement;NVQ;SIMP_Extraversion;SIMP_Agreeableness;SIMP_Conscientiousness;SIMP_EmotionalStability;SIMP_Openess;RAS;SOCS_Cognitive;SOCS_Motivational
EE002;0;26;4;1;2;16;3,75;3;3,75;3;4,5;4;3,5;1,25;2;4;4,29;2,666667;4;1;1;1;3,17;2,75;3,67;4;3,2;3,83;3,5;3,67;3,75;2,75;3,75;3,13;8;8;5;1;3;1,97;4,71;4,25
MM002;0;47;3;2;4;13;1,75;2;1,5;1,75;3,25;4;3,5;1,75;2;3,71;2,14;3;4;1,75;2,5;3;4;3,75;3,67;3,4;3,8;3,83;4,25;3,33;2,75;4,5;4,5;2,27;3;7;6;6;5;1,73;4,57;6,25
TT001;1;52;3;2;4;13;1,75;2;1,25;1,25;2;1,75;1,25;1;1,5;3,29;1,14;4;2,333333;4,25;3,5;2,25;4,67;4;2,67;4,4;4,8;3,67;4,5;2,67;2,75;3,5;4;1,07;7;4;6;4;4;1,4;7;6,25
HH001;0;24;3;1;2;13;2;3;3;2,25;2,75;3,25;2,75;1,5;2,25;3,29;3;2;2,333333;1,25;1;1;2,67;2;1,33;3,6;2,4;3;3,75;2,33;3,25;2,75;4,25;3,2;6;6;5;7;8;1,7;3;2,25
PP001;0;53;3;2;4;13;3;2,25;4,75;2;4;3,5;3,5;2,25;2,75;4,14;4;2,666667;2;1,25;1,75;5;2,67;2,25;4,67;4,4;3,8;4,33;3,5;4;3,5;4;3,25;4;5;7;5;7;5;1,9;4,57;4,75
BB003;0;25;4;1;4;16;2;2,75;1,25;4;3,5;3;3,75;1;2,25;3,43;1,71;1,333333;1,666667;4,5;2,5;1,75;3,83;4,25;3,33;4;4,2;4,17;4;2;1,75;3;3,75;3,2;2;8;4;8;3;2,6;4,86;5,75
RR002;0;58;3;3;4;13;1,75;2,5;2,5;2;2,5;2,5;2,25;1;1,75;3,14;3,57;3,666667;3,333333;1,5;2;3,5;3,17;3,75;3,67;3;3,6;3,33;3,25;3,33;2,5;3;2,75;3,4;7;7;4;4;6;2,17;4,29;4,25
NN002;0;26;4;1;5;16;2;4;4;2;2,25;2,75;2,25;1,75;2,5;3;3,43;1,666667;2,666667;1;2;5,75;2,17;3,5;4,67;3;4,6;4,83;4,5;3,33;3;2,75;4;3,87;1;6;8;3;3;2,53;3,71;5,75
LL001;1;21;3;1;1;13;2,75;2,5;1,25;2,5;3,5;2,75;2,75;1,5;1;3,57;1,43;1,666667;4,666667;4,25;3,5;5,25;3;3;3,33;4,8;4;5;3,5;2,33;2,5;3,75;4,25;3,2;7;8;9;6;4;1,6;4,57;3,75
QQ002;0;22;2;1;1;8;1,25;2,25;1,75;1,5;2,5;3,25;3,5;1;1,25;3,43;2;2,333333;4,666667;1;1,25;1;3,67;3;4;3,4;4,2;5;3;4,33;2,25;4,25;4,25;2,33;3;6;5;6;4;2,07;6,14;4
EE003;0;20;2;1;4;8;1;1,75;1,5;1,75;2,25;3;3;1,25;2,25;2,29;2,57;2,333333;4,666667;1;1;1;2,67;3,75;3,67;2,4;4,6;5;3,25;4,67;2;3,25;4,25;2,47;1;9;5;7;7;2,9;6,29;4,25
GG003;0;52;2;2;5;8;1,5;2;2,75;2,25;4;3,75;3,25;2;1,75;3,43;2,14;2,666667;3,333333;3;3,5;2;3,5;3,5;3,67;4;3,8;4;3,25;3,33;2,75;2,25;3;2,33;7;1;6;3;4;0,57;5,14;5,25
FF003;0;20;3;1;2;13;1,5;3,75;4,75;1,75;2,25;2,25;5;1,5;3,25;3,14;4;2,666667;5;1,75;2;1,75;3,17;2,25;2,67;3,8;1;5;4,5;3;2,75;2,5;4;3,33;2;4;3;6;7;2,37;3,57;7
DD003;1;41;2;2;5;8;2,5;3;3,5;2,75;2,75;3,5;3,5;3,25;2,75;3;1,86;3;2,333333;5,5;5,25;4,75;4,67;4,5;3,67;3;4,2;4;3,75;3;3;4;3,75;2,6;6;6;5;4;5;1,13;4,86;4,25
SS001;0;49;3;3;4;13;2,75;1,75;2;2;3,25;3,75;4;1,75;2;3;2,71;1,666667;1,666667;6,25;5,25;7;3,17;3,25;3,33;3,8;3;4,83;3,75;3;4,75;2,5;4,25;3,53;8;4;7;1;4;1,43;3,14;3,5
AA003;0;25;5;1;5;18;2,5;2,75;2,75;3;3,5;4,75;4;1,75;2,75;4,43;2,14;1;2,333333;2,25;4,75;3,25;4,17;2,75;3,67;2,6;3,4;3,83;4,5;2,67;2,75;3,75;3,25;3;2;3;4;8;8;2,03;4,71;4,5
OO002;1;32;2;1;3;8;2,75;3,5;3,25;4;3,25;3,25;4;3,5;3,25;3,71;3,14;3,666667;3,666667;7,5;6,5;6;2,83;3;3;2,8;3;2,83;2,75;1,33;2,5;1,5;2,75;3,2;8;7;5;5;7;1,73;3,71;3,75
PP002;1;45;4;3;4;16;2,75;3;3,5;2,5;3;3,25;2,75;2,5;3,25;3;2,86;3,666667;3;4,5;5,25;4;3,83;3;2,67;3,4;3,4;2,83;3;2;4;4;3,25;3,87;6;3;3;1;5;2,2;3,86;5,5
NN003;0;63;3;4;6;13;2,25;2,25;3,25;3;3,75;2,75;4;2,25;3,75;3,29;2,71;3,333333;3,666667;5,5;5;5,5;3,33;3,75;3,33;4,8;4,4;3,83;3,75;2;4,25;4,25;4;4,07;5;9;3;2;8;1,4;3,71;3,75
QQ003;0;45;3;2;5;13;1;1,75;2;3,5;3,5;2,75;1,75;1,5;1;3,57;1,71;3,333333;3,333333;1;3,25;1,5;4,5;4;4,67;4,2;4;4,5;4,25;2,67;4;3,75;4;2;5;5;7;5;5;1,27;6;6,75
II003;0;50;3;2;5;13;1,25;2,5;2,25;2,5;3;2,75;2,25;1,5;1;3,29;1,86;1;2,333333;1,75;1;1,25;4,33;4;3;4,2;4,4;4,67;2,5;3,67;2,5;2,75;2,75;1,8;7;5;4;6;5;1,53;4,86;5,75
NN004;0;36;3;1;3;13;2,5;1,75;2,25;1,5;2,75;2,5;2,75;2;2;3,29;4,29;2,666667;3,666667;2;1;2,25;2,33;2,75;3,33;2,2;3,2;4;3,25;4;2;2,5;3;3,8;3;8;3;3;6;2,17;3,14;5
LL002;1;52;4;2;3;16;2,5;2,75;3;4;3,25;3,5;4;2,5;2,25;3,71;2,57;2,333333;2,333333;6,5;3;7;4,33;3,5;2,33;4,6;3,2;4,83;4;4;3,5;3,75;3,75;3,07;8;8;1;5;5;2,03;4,14;5,75
MM003;0;21;3;1;8;13;2,75;3,25;4,5;2,5;3,5;2,25;3;3,5;2;3,57;3,86;4,666667;5;2,75;6;7,5;1,33;4,5;3;4,2;4;3,17;3;2;3,75;2,5;3,75;4,47;6;4;4;3;6;2,07;2,43;5
PP003;1;56;5;2;4;18;2,5;2,25;2,5;2;2,5;2;1,75;1,5;2;3,14;2,43;2,333333;1;1,25;1,5;4,75;3;4,5;4;2,8;4,6;3,67;2;3;5;3;3,5;3,07;4;6;5;8;4;1,87;5,29;6,25
OO003;0;57;5;2;5;18;1,75;4,5;4,5;1,75;3,5;4,75;2;1;1,25;4,14;3,71;1,333333;2,333333;1;1,25;2;4,33;3,75;3;3,2;3,8;3,67;4;4,33;3,75;4,75;4,25;3,93;3;6;1;4;9;2;3,43;6,75
NN005;0;23;3;1;8;13;3,25;2,5;2,5;3,75;3,5;4;3,5;2;2,75;2,71;4,14;3;5;3,75;1,75;6;3,17;2,5;3,33;3,8;3,6;4,83;3,5;3,67;2,25;2,5;3,75;3,67;8;8;1;5;7;2,2;2,86;5
